City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,bikenibeu village,1.3673,173.1241,28.98,79,40,3.6,KI,1709929176
129,nayoro,44.3506,142.4578,-14.58,97,98,0.47,JP,1709929177
130,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-19.69,98,19,1.62,RU,1709929177
131,nagtipunan,16.2167,121.6,21.27,99,97,1.47,PH,1709929177
132,hamilton,39.1834,-84.5333,13.97,94,100,3.09,US,1709928905
133,pacific grove,36.6177,-121.9166,19.38,61,0,4.12,US,1709929178
134,kingston,17.997,-76.7936,30.65,69,20,8.75,JM,1709929178
135,malango,-2.9627,119.9001,20.42,96,98,0.99,ID,1709929178
136,nova sintra,14.8667,-24.7167,19.14,72,10,11.14,CV,1709929178
137,kavaratti,10.5669,72.642,27.91,69,3,4.79,IN,1709929179
138,sao vicente,-23.9631,-46.3919,27.1,59,100,2.06,BR,1709928978
139,barra de santo antonio,-9.4047,-35.5072,30.6,75,91,4.34,BR,1709929179
140,bodo,67.28,14.405,2.1,92,100,2.06,NO,1709929179
141,tura,25.5198,90.2201,16.18,32,0,1.37,IN,1709929180
142,hithadhoo,-0.6,73.0833,27.92,75,100,4.09,MV,1709929180
143,rio preto da eva,-2.6994,-59.6997,27.59,89,100,0.95,BR,1709929180
144,goole,53.7167,-0.8667,6.17,85,51,6.42,GB,1709928923
145,tamiahua,21.2667,-97.45,32.84,48,36,4.02,MX,1709929180
146,nelson bay,-32.7167,152.15,21.67,94,5,0.45,AU,1709929181
147,polyarnyy,69.1989,33.4478,-2.9,97,100,2.84,RU,1709929181
148,saint-philippe,-21.3585,55.7679,24.77,83,58,5.05,RE,1709929181
149,utrik,11.2278,169.8474,26.53,81,100,11.07,MH,1709929181
150,sinfra,6.6167,-5.9167,24.31,91,100,1.69,CI,1709929181
151,campobello di mazara,37.6358,12.7443,14.37,83,84,6.98,IT,1709929182
152,dunedin,-45.8742,170.5036,12.67,65,64,3.58,NZ,1709928980
153,nizhniy kuranakh,58.8353,125.4869,-13.62,96,100,1.27,RU,1709929182
154,lihue,21.9789,-159.3672,25.58,73,100,9.77,US,1709929142
155,luganville,-15.5333,167.1667,24.91,97,100,5.24,VU,1709929183
156,hadibu,12.65,54.0333,25.64,77,35,3.3,YE,1709929183
157,santa cruz,-17.8,-63.1667,31.7,74,75,7.2,BO,1709929170
158,les anglais,18.3054,-74.2197,28.3,71,24,3.66,HT,1709929183
159,majholi,23.5,79.9167,18.22,30,0,2.41,IN,1709929183
160,tindouf,27.6711,-8.1474,19.25,24,0,6.17,DZ,1709929184
161,olyokminsk,60.3736,120.4264,-7.71,97,100,1.72,RU,1709929184
162,new norfolk,-42.7826,147.0587,14.72,99,62,1.66,AU,1709929184
163,flying fish cove,-10.4217,105.6791,25.82,94,100,4.63,CX,1709929184
164,coyhaique,-45.5752,-72.0662,6.97,93,100,1.54,CL,1709929185
165,broome,42.2506,-75.833,15.25,41,0,4.63,US,1709929185
166,cidade velha,14.9167,-23.6167,22.26,64,40,10.8,CV,1709929185
167,nyurba,63.2842,118.3319,-11.85,96,100,2.35,RU,1709929185
168,borovskoy,53.8,64.15,-12.58,98,91,3.44,KZ,1709929186
169,qulsary,46.9531,54.0198,-1.24,60,91,4.58,KZ,1709929186
170,kayenta,36.7278,-110.2546,8.26,35,1,6.46,US,1709929186
171,santa rosa misiones,-26.8667,-56.85,31.79,60,44,2.13,PY,1709929186
172,caraballeda,10.6112,-66.8522,29.04,70,76,4.12,VE,1709929186
173,vorgashor,67.5833,63.95,-28.32,99,54,2.68,RU,1709929187
174,dowlatabad,32.7998,51.6955,6.82,33,0,2.06,IR,1709929187
175,kapa'a,22.0752,-159.319,25.99,72,100,9.77,US,1709929187
176,haiku-pauwela,20.9219,-156.3051,22.8,89,75,7.2,US,1709929187
177,vila franca do campo,37.7167,-25.4333,15.23,71,78,8.29,PT,1709929187
178,grand falls-windsor,48.9332,-55.6649,-2.5,92,100,3.58,CA,1709929188
179,revelstoke,50.9832,-118.2023,-0.99,86,100,1.03,CA,1709928914
180,maibong,25.3,93.1667,14.8,43,0,1.13,IN,1709929188
181,belaya glina,46.07,40.86,2.32,59,56,2.09,RU,1709929062
182,cooper's town,26.8667,-77.5167,24.65,80,48,3.19,BS,1709929188
183,fortuna,40.5982,-124.1573,14.99,71,0,1.34,US,1709929189
184,ust-nera,64.5667,143.2,-27.8,100,98,0.72,RU,1709929189
185,ichinohe,40.2069,141.3017,-1.83,95,100,1.52,JP,1709929189
186,ust'-ilimsk,58.0006,102.6619,-5.87,94,100,1.34,RU,1709929189
187,kuressaare,58.2481,22.5039,-2.77,97,100,2.57,EE,1709929189
188,nar'yan-mar,67.6713,53.087,-21.05,100,98,2.68,RU,1709929189
189,olonkinbyen,70.9221,-8.7187,0.71,94,97,5.95,SJ,1709929190
190,vorkuta,67.5,64.0,-28.81,99,60,2.44,RU,1709929025
191,sol'-iletsk,51.1631,54.9918,-18.82,100,94,1.71,RU,1709929190
192,ribeira grande,38.5167,-28.7,14.87,67,40,8.23,PT,1709929190
193,bratsk,56.1325,101.6142,-7.73,98,100,1.19,RU,1709928960
194,ancud,-41.8697,-73.8203,13.87,66,100,7.28,CL,1709929191
195,papatowai,-46.5619,169.4708,10.44,61,82,8.01,NZ,1709929191
196,naze,28.3667,129.4833,12.51,62,100,6.59,JP,1709929191
197,huazhou,21.6333,110.5833,18.5,68,100,3.54,CN,1709929191
198,buguruslan,53.6554,52.442,-9.6,96,100,3.08,RU,1709929191
199,ninotsminda,41.2646,43.5916,-9.52,84,98,2.11,GE,1709929192
200,fort bragg,35.139,-79.006,19.0,57,100,4.12,US,1709929192
201,rufino,-34.2683,-62.7126,31.95,50,99,5.2,AR,1709929192
202,brigantine,39.4101,-74.3646,10.11,68,0,4.63,US,1709929192
203,mount pearl,47.5166,-52.7813,-1.49,97,100,12.86,CA,1709929192
204,malard,35.6659,50.9767,10.1,53,40,5.14,IR,1709929193
205,sao joao da barra,-21.6403,-41.0511,28.05,82,12,4.53,BR,1709929193
206,reggane,26.7158,0.1714,24.15,11,0,3.49,DZ,1709929193
207,kruisfontein,-34.0033,24.7314,20.49,85,0,1.95,ZA,1709929193
